epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,938.367,0.77165,0.98506,1.1167,0.77247,0.77022,0.78965,0.66704,0.73419,0.83885,1.10075,0.000299441,0.000299441,0.000299441
59,954.227,0.75256,0.94637,1.09175,0.78057,0.7562,0.78188,0.66041,0.69065,0.78477,1.06033,0.000298432,0.000298432,0.000298432
60,970.111,0.7568,0.95798,1.09851,0.77431,0.75017,0.78362,0.66028,0.69933,0.78449,1.04851,0.000297422,0.000297422,0.000297422
61,986.165,0.77247,0.95165,1.10397,0.79115,0.724,0.7785,0.66599,0.71915,0.81723,1.08068,0.000296412,0.000296412,0.000296412
62,1002.46,0.74251,0.92923,1.09539,0.78713,0.74281,0.79011,0.67606,0.69365,0.81898,1.07049,0.000295402,0.000295402,0.000295402
63,1018.23,0.76605,0.96972,1.11655,0.74199,0.74641,0.77858,0.66286,0.68699,0.80427,1.08116,0.000294392,0.000294392,0.000294392
64,1033.88,0.76289,0.952,1.10635,0.76999,0.7379,0.78432,0.67423,0.68875,0.80866,1.06243,0.000293383,0.000293383,0.000293383
65,1049.54,0.73132,0.91978,1.08152,0.81336,0.74329,0.80609,0.68213,0.69802,0.78015,1.06085,0.000292373,0.000292373,0.000292373
66,1065.19,0.76177,0.96341,1.10955,0.81024,0.75878,0.79199,0.67489,0.70907,0.79025,1.06844,0.000291363,0.000291363,0.000291363
67,1081.12,0.74056,0.90446,1.07858,0.74967,0.76206,0.78474,0.67269,0.68078,0.81696,1.06427,0.000290353,0.000290353,0.000290353
68,1097.3,0.72615,0.897,1.07539,0.80063,0.76244,0.80787,0.69311,0.70073,0.77582,1.07931,0.000289343,0.000289343,0.000289343
69,1112.84,0.73415,0.90324,1.07727,0.79131,0.7512,0.79519,0.68025,0.68718,0.82776,1.06736,0.000288334,0.000288334,0.000288334
70,1128.18,0.74054,0.90744,1.07703,0.75797,0.77047,0.78308,0.66895,0.67862,0.78559,1.05093,0.000287324,0.000287324,0.000287324
71,1143.55,0.73049,0.90887,1.07692,0.76563,0.76468,0.79143,0.67239,0.67484,0.75532,1.05336,0.000286314,0.000286314,0.000286314
72,1159.01,0.73551,0.92489,1.08038,0.80906,0.78108,0.78845,0.6729,0.69179,0.80258,1.06234,0.000285304,0.000285304,0.000285304
